key,filter,reason,status,width_cm,x,z,between,and
0x1e7314.1 | 0x1e7fc4.0,ignored objects: table in the trap room,"The big table which Bond gets 'trapped' at. The chairs round it and the monitors on it each leave a gap against it, none of any use. (The chairs are doors in the data, as is the table itself: that is how they were animated.) (0x1e7314)",warp,57.169,-2637,1102,door 0x1e7314 (preset 0x0025),monitor 0x1e7fc4 (preset 0x272f)
0x1e7314.0 | 0x1e7ec4.4,ignored objects: table in the trap room,"The big table which Bond gets 'trapped' at. The chairs round it and the monitors on it each leave a gap against it, none of any use. (The chairs are doors in the data, as is the table itself: that is how they were animated.) (0x1e7314)",warp,57.393,-2922,1102,door 0x1e7314 (preset 0x0025),monitor 0x1e7ec4 (preset 0x272e)
0x1e7314.2 | 0x1e7824.0,ignored objects: table in the trap room,"The big table which Bond gets 'trapped' at. The chairs round it and the monitors on it each leave a gap against it, none of any use. (The chairs are doors in the data, as is the table itself: that is how they were animated.) (0x1e7314)",warp,50.570,-2617,1278,door 0x1e7314 (preset 0x0025),door 0x1e7824 (preset 0x002a)
0x1e7314.2 | 0x1e7724.0,ignored objects: table in the trap room,"The big table which Bond gets 'trapped' at. The chairs round it and the monitors on it each leave a gap against it, none of any use. (The chairs are doors in the data, as is the table itself: that is how they were animated.) (0x1e7314)",warp,50.182,-2617,1414,door 0x1e7314 (preset 0x0025),door 0x1e7724 (preset 0x0029)
0x1e7314.2 | 0x1e7624.0,ignored objects: table in the trap room,"The big table which Bond gets 'trapped' at. The chairs round it and the monitors on it each leave a gap against it, none of any use. (The chairs are doors in the data, as is the table itself: that is how they were animated.) (0x1e7314)",warp,49.794,-2617,1550,door 0x1e7314 (preset 0x0025),door 0x1e7624 (preset 0x0028)
0x1e7314.2 | 0x1e7524.0,ignored objects: table in the trap room,"The big table which Bond gets 'trapped' at. The chairs round it and the monitors on it each leave a gap against it, none of any use. (The chairs are doors in the data, as is the table itself: that is how they were animated.) (0x1e7314)",warp,49.406,-2617,1686,door 0x1e7314 (preset 0x0025),door 0x1e7524 (preset 0x0027)
0x1e7314.5 | 0x1e7b24.1,ignored objects: table in the trap room,"The big table which Bond gets 'trapped' at. The chairs round it and the monitors on it each leave a gap against it, none of any use. (The chairs are doors in the data, as is the table itself: that is how they were animated.) (0x1e7314)",warp,47.317,-2939,1501,door 0x1e7314 (preset 0x0025),door 0x1e7b24 (preset 0x002d)
0x1e7314.5 | 0x1e7a24.1,ignored objects: table in the trap room,"The big table which Bond gets 'trapped' at. The chairs round it and the monitors on it each leave a gap against it, none of any use. (The chairs are doors in the data, as is the table itself: that is how they were animated.) (0x1e7314)",warp,46.928,-2940,1365,door 0x1e7314 (preset 0x0025),door 0x1e7a24 (preset 0x002c)
0x1e7314.5 | 0x1e7924.1,ignored objects: table in the trap room,"The big table which Bond gets 'trapped' at. The chairs round it and the monitors on it each leave a gap against it, none of any use. (The chairs are doors in the data, as is the table itself: that is how they were animated.) (0x1e7314)",warp,46.540,-2940,1229,door 0x1e7314 (preset 0x0025),door 0x1e7924 (preset 0x002b)
0x1e7314.5 | 0x1e7c24.1,ignored objects: table in the trap room,"The big table which Bond gets 'trapped' at. The chairs round it and the monitors on it each leave a gap against it, none of any use. (The chairs are doors in the data, as is the table itself: that is how they were animated.) (0x1e7314)",warp,47.697,-2939,1634,door 0x1e7314 (preset 0x0025),door 0x1e7c24 (preset 0x002e)
000028.0 | 0x1e9780.0,anvil and hammer,"generic 0x1e9780 (preset 0x279d) is 22.7 cm from a straight wall, closer than Bond's radius, with 3.1 m of it to one side and 3.1 m of it to the other",no warp found,22.663,-6786,552,wall of tile 000028 (room 0x3f),generic 0x1e9780 (preset 0x279d)
000028.0 | 0x1e9780.1,anvil and hammer,"generic 0x1e9780 (preset 0x279d) is 22.7 cm from a straight wall, closer than Bond's radius, with 3.1 m of it to one side and 4.2 m of it to the other",no warp found,22.663,-6731,552,wall of tile 000028 (room 0x3f),generic 0x1e9780 (preset 0x279d)
000028.0 | 0x1e9780.3,anvil and hammer,"generic 0x1e9780 (preset 0x279d) is 22.7 cm from a straight wall, closer than Bond's radius, with 4.2 m of it to one side and 3.1 m of it to the other",no warp found,22.663,-6841,552,wall of tile 000028 (room 0x3f),generic 0x1e9780 (preset 0x279d)
