object,type,reason
0x1cc86c,generic,Bond walks through it
0x1cc924,generic,Bond walks through it
0x1cc9dc,generic,Bond walks through it
0x1cca94,generic,Bond walks through it
0x1ccb3c,weapon,Bond walks through it
0x1cab5c,door,no collision outline in the data
0x1cac6c,door,no collision outline in the data
0x1cbecc,generic,no collision outline in the data
0x1cbf4c,generic,no collision outline in the data
0x1cbfcc,generic,no collision outline in the data
0x1cc04c,generic,no collision outline in the data
0x1cc0cc,generic,no collision outline in the data
0x1cc14c,generic,no collision outline in the data
0x1cc1cc,generic,no collision outline in the data
0x1cc24c,generic,no collision outline in the data
0x1cc2cc,generic,no collision outline in the data
0x1cc34c,generic,no collision outline in the data
0x1cc3cc,generic,no collision outline in the data
0x1cc44c,generic,no collision outline in the data
0x1cc4cc,generic,no collision outline in the data
0x1cc54c,generic,no collision outline in the data
0x1cc5cc,generic,no collision outline in the data
0x1cc64c,generic,no collision outline in the data
0x1cb09c,door,"removed by filters/levels/silo.py, ""missile bay doors"": The doors of the missile bays, high above the level: an easter egg. Each is a slab 4.2 m by 8.4 m and 25 cm thick, lying flat between 6 m and 10.5 m over Bond's head."
0x1cb19c,door,"removed by filters/levels/silo.py, ""missile bay doors"": The doors of the missile bays, high above the level: an easter egg. Each is a slab 4.2 m by 8.4 m and 25 cm thick, lying flat between 6 m and 10.5 m over Bond's head."
0x1cb2ac,door,"removed by filters/levels/silo.py, ""missile bay doors"": The doors of the missile bays, high above the level: an easter egg. Each is a slab 4.2 m by 8.4 m and 25 cm thick, lying flat between 6 m and 10.5 m over Bond's head."
0x1cb3ac,door,"removed by filters/levels/silo.py, ""missile bay doors"": The doors of the missile bays, high above the level: an easter egg. Each is a slab 4.2 m by 8.4 m and 25 cm thick, lying flat between 6 m and 10.5 m over Bond's head."
0x1cb6cc,door,"removed by filters/levels/silo.py, ""missile bay doors"": The doors of the missile bays, high above the level: an easter egg. Each is a slab 4.2 m by 8.4 m and 25 cm thick, lying flat between 6 m and 10.5 m over Bond's head."
0x1cb7cc,door,"removed by filters/levels/silo.py, ""missile bay doors"": The doors of the missile bays, high above the level: an easter egg. Each is a slab 4.2 m by 8.4 m and 25 cm thick, lying flat between 6 m and 10.5 m over Bond's head."
0x1c4408,generic,the tile it stands on is not in the data
0x1c4488,generic,the tile it stands on is not in the data
0x1c9a4c,door,the tile it stands on is not in the data
0x1ca14c,door,the tile it stands on is not in the data
0x1cb4bc,door,the tile it stands on is not in the data
0x1cb5bc,door,the tile it stands on is not in the data
