key,filter,reason,status,width_cm,x,z,between,and
0x1e9ca4.0 | 0x1e9e2c.3,ignored objects: pipes room crates,"Nine crates stacked together by the pipes. Squeezing between them leads nowhere. (0x1e9b9c, 0x1e9ca4, 0x1e9e2c)",warp,29.130,-120,-2521,generic 0x1e9b9c (preset 0x2746),generic 0x1e9ca4 (preset 0x2748)
0x1e9dac.2 | 0x1e9e2c.4,ignored objects: pipes room crates,"Nine crates stacked together by the pipes. Squeezing between them leads nowhere. (0x1e998c, 0x1e9dac, 0x1e9e2c, 0x1e9f34, 0x1ea03c)",warp,28.612,-226,-2627,generic 0x1e9dac (preset 0x2749),generic 0x1e9f34 (preset 0x2747)
0x1e990c.4 | 0x1e9f34.2,ignored objects: pipes room crates,"Nine crates stacked together by the pipes. Squeezing between them leads nowhere. (0x1e990c, 0x1e998c, 0x1e9b9c, 0x1e9e2c, 0x1e9f34)",warp,41.347,-120,-2628,generic 0x1e9b9c (preset 0x2746),generic 0x1e9f34 (preset 0x2747)
0x1e990c.2 | 0x1e9b9c.0,ignored objects: pipes room crates,"Nine crates stacked together by the pipes. Squeezing between them leads nowhere. (0x1e990c, 0x1e9b9c)",warp,24.576,-38,-2624,generic 0x1e990c (preset 0x2743),generic 0x1e9b9c (preset 0x2746)
0x1e990c.4 | 0x1e998c.2,ignored objects: pipes room crates,"Nine crates stacked together by the pipes. Squeezing between them leads nowhere. (0x1e990c, 0x1e998c)",warp,17.873,-130,-2715,generic 0x1e990c (preset 0x2743),generic 0x1e998c (preset 0x2744)
0x1e9e2c.4 | 0x1ea03c.2,ignored objects: pipes room crates,"Nine crates stacked together by the pipes. Squeezing between them leads nowhere. (0x1e9a94, 0x1e9ca4, 0x1e9dac, 0x1e9e2c, 0x1ea03c)",warp,36.370,-223,-2526,generic 0x1e9ca4 (preset 0x2748),generic 0x1e9dac (preset 0x2749)
0x1e9a94.0 | 0x1ea03c.3,ignored objects: pipes room crates,"Nine crates stacked together by the pipes. Squeezing between them leads nowhere. (0x1e9a94, 0x1e9dac, 0x1ea03c)",warp,9.739,-299,-2521,generic 0x1e9a94 (preset 0x2745),generic 0x1ea03c (preset 0x274a)
0x1e9a94.1 | 0x1e9ca4.5,ignored objects: pipes room crates,"Nine crates stacked together by the pipes. Squeezing between them leads nowhere. (0x1e9a94, 0x1e9ca4)",warp if objects removed,24.576,-222,-2438,generic 0x1e9a94 (preset 0x2745),generic 0x1e9ca4 (preset 0x2748)
000E10.2 | 0x1e940c.0,anvil and hammer,"monitor 0x1e940c (preset 0x272d) is 6.7 cm from a straight wall, closer than Bond's radius, with 3.6 m of it to one side and 4.3 m of it to the other",no warp found,6.702,-2,-3612,wall of tile 000E10 (room 0x09),monitor 0x1e940c (preset 0x272d)
000E10.2 | 0x1e950c.0,anvil and hammer,"generic 0x1e950c (preset 0x272e) is 6.7 cm from a straight wall, closer than Bond's radius, with 4.4 m of it to one side and 3.5 m of it to the other",no warp found,6.702,-42,-3612,wall of tile 000E10 (room 0x09),generic 0x1e950c (preset 0x272e)
